Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count,recall_numerator,rar_count,precision_numerator,par_count
numenta,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.542187690735,1.70586905384,7,3079,3,339,4032,2.41044834308,3,4.0,13
numenta,standard,realAdExchange/exchange-3_cpm_results.csv,0.542187690735,0.752161591569,1,1154,1,152,1538,0.801307189542,1,1.0,7
numenta,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.542187690735,1.43157140283,4,3544,3,470,4730,1.60168776371,2,4.0,12
numenta,standard,artificialNoAnomaly/art_flatline.csv,0.542187690735,0.0,0,3428,0,0,4032,0.0,0,0.0,0
numenta,standard,artificialWithAnomaly/art_daily_nojump.csv,0.542187690735,-1.27835146592,0,3022,3,403,4032,0.0,1,0.0,8
numenta,standard,realAdExchange/exchange-3_cpc_results.csv,0.542187690735,2.72249645115,4,1155,0,149,1538,2.41176470588,3,4.0,6
numenta,standard,realAdExchange/exchange-4_cpc_results.csv,0.542187690735,0.512259966677,5,1230,2,160,1643,1.61272727273,3,3.0,10
numenta,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.542187690735,0.0,0,3428,0,0,4032,0.0,0,0.0,0
numenta,standard,realTweets/Twitter_volume_AMZN.csv,0.542187690735,-0.743957144663,7,13496,5,1573,15831,1.60185654008,4,4.0,17
numenta,standard,realKnownCause/machine_temperature_system_failure.csv,0.542187690735,1.36013273774,5,19672,5,2263,22695,2.40105820106,4,5.0,23
numenta,standard,realTweets/Twitter_volume_KO.csv,0.542187690735,2.46249313699,6,13512,2,1581,15851,2.40170132325,3,4.0,13
numenta,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.542187690735,0.86067182427,5,3025,0,398,4032,0.800620347395,1,4.0,12
numenta,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.542187690735,0.86067182427,1,3025,0,402,4032,0.800496277916,1,1.0,1
numenta,standard,realKnownCause/nyc_taxi.csv,0.542187690735,2.43572773247,7,8534,1,1028,10320,3.20434782609,5,6.0,11
numenta,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.542187690735,-2.0,0,931,0,126,1243,0.0,2,0.0,1
Totals,,,,46.6344501971,240,299194,153,33255,365558,76.9850773254,116,185.0,619
